Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100249,2.074 ,-2.767 ,-0.282 ,0.335 ,-1.220 ,1.347 
100250,2.117 ,-2.977 ,-0.143 ,0.189 ,-1.354 ,1.039 
100251,2.210 ,-3.030 ,-0.344 ,-0.201 ,-0.800 ,1.145 
100252,2.307 ,-2.584 ,-0.739 ,-0.721 ,-0.509 ,1.342 
100253,2.176 ,-2.302 ,-1.092 ,-0.585 ,-0.394 ,1.538 
100254,2.167 ,-2.611 ,-1.146 ,-0.786 ,-0.222 ,1.404 
100255,2.072 ,-2.706 ,-1.552 ,-0.657 ,0.164 ,1.526 
100256,2.199 ,-2.296 ,-1.592 ,-1.225 ,0.613 ,1.652 
100257,2.994 ,-1.724 ,-0.902 ,-2.001 ,0.951 ,0.083 
100258,3.236 ,-1.179 ,-0.853 ,-1.804 ,0.906 ,-0.679 
100259,3.184 ,-0.791 ,-1.173 ,-1.196 ,0.412 ,-0.553 
100260,2.991 ,-0.654 ,-2.120 ,-0.291 ,0.292 ,-0.125 
100261,3.496 ,-0.455 ,-1.446 ,-1.172 ,0.744 ,-0.317 
100262,3.505 ,-0.672 ,-1.423 ,-0.816 ,0.750 ,-0.365 
100263,3.792 ,-0.631 ,-0.863 ,-0.438 ,0.457 ,-0.552 
100264,4.015 ,-0.414 ,-0.185 ,0.422 ,-0.162 ,-0.662 
100265,3.945 ,-0.007 ,0.464 ,0.873 ,-0.927 ,-0.805 
100266,2.215 ,-3.509 ,-0.274 ,1.216 ,-0.176 ,1.433 
100267,2.070 ,-3.324 ,-0.308 ,0.928 ,-0.455 ,1.500 
100268,1.916 ,-3.082 ,0.005 ,0.664 ,-1.135 ,1.170 
100269,2.097 ,-3.777 ,0.279 ,0.916 ,-1.243 ,0.932 
100270,2.171 ,-3.855 ,0.112 ,0.563 ,-0.828 ,1.053 
100271,2.205 ,-3.402 ,-0.365 ,0.020 ,-0.571 ,1.144 
100272,2.193 ,-2.916 ,-0.710 ,-0.484 ,-0.454 ,1.280 
100273,2.036 ,-2.921 ,-1.176 ,-0.488 ,-0.175 ,1.414 
100274,1.898 ,-3.010 ,-1.360 ,-0.599 ,0.009 ,1.360 
100275,2.020 ,-2.803 ,-1.248 ,-1.187 ,0.358 ,1.350 
100276,2.104 ,-2.548 ,-1.294 ,-1.148 ,0.499 ,0.889 
100277,2.520 ,-1.509 ,-1.603 ,-0.868 ,0.444 ,-0.531 
100278,2.760 ,-1.045 ,-1.552 ,-1.076 ,0.284 ,-0.630 
100279,2.814 ,-0.895 ,-1.397 ,-0.918 ,0.294 ,-0.585 
100280,3.170 ,-0.762 ,-1.162 ,-1.280 ,0.462 ,-0.620 
100281,3.239 ,-0.561 ,-1.462 ,-1.082 ,0.468 ,-0.446 
100282,3.350 ,-0.500 ,-1.463 ,-0.249 ,0.370 ,-0.371 
100283,3.798 ,-0.377 ,-0.522 ,-0.576 ,0.343 ,-0.662 
100284,3.949 ,-0.120 ,-0.049 ,-0.566 ,0.179 ,-0.712 
100285,3.967 ,-0.302 ,0.341 ,0.523 ,0.048 ,-0.703 
100286,4.456 ,-0.388 ,1.337 ,1.269 ,-0.388 ,-0.920 
100287,1.968 ,-3.875 ,-0.264 ,1.409 ,-0.140 ,1.528 
100288,1.855 ,-3.600 ,-0.619 ,1.209 ,-0.465 ,1.538 
100289,1.935 ,-3.926 ,0.605 ,1.547 ,-0.771 ,1.224 
100290,2.169 ,-4.664 ,1.134 ,1.739 ,-0.707 ,0.971 
100291,2.191 ,-4.989 ,0.789 ,1.679 ,-0.648 ,0.942 
100292,2.255 ,-4.659 ,0.351 ,1.074 ,-0.386 ,0.930 
100293,2.124 ,-4.063 ,-0.222 ,0.490 ,-0.459 ,0.972 
100294,1.991 ,-3.719 ,-0.674 ,0.044 ,-0.500 ,1.101 
100295,1.905 ,-3.510 ,-0.875 ,-0.496 ,-0.328 ,1.180 
100296,1.755 ,-3.300 ,-1.248 ,-0.705 ,-0.035 ,1.257 
100297,1.826 ,-2.892 ,-1.050 ,-1.061 ,0.297 ,1.105 
100298,1.793 ,-2.169 ,-1.347 ,-0.962 ,0.239 ,0.837 
100299,2.060 ,-1.405 ,-1.445 ,-0.846 ,0.203 ,-0.499 
