Gridcode,Viola_adunca,Viola_affinis,Viola_bicolor,Viola_brittoniana,Viola_canadensis,Viola_hastata,Viola_hirsutula,Viola_labradorica,Viola_lanceolata,Viola_nephrophylla,Viola_odorata,Viola_pedata,Viola_renifolia,Viola_rostrata,Viola_rotundifolia,Viola_selkirkii,Viola_septemloba,Viola_septentrionalis,Viola_striata,Viola_tricolor,Viola_triloba,Viola_tripartita,Viola_walteri
100071,0.000 ,0.499 ,0.045 ,0.061 ,0.000 ,0.000 ,0.008 ,0.006 ,0.703 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.002 ,0.000 ,0.768 ,0.001 ,0.001 ,0.227 ,0.072 ,0.001 ,0.361 
100072,0.000 ,0.483 ,0.020 ,0.054 ,0.002 ,0.001 ,0.010 ,0.008 ,0.690 ,0.002 ,0.000 ,0.003 ,0.000 ,0.001 ,0.003 ,0.000 ,0.701 ,0.002 ,0.003 ,0.194 ,0.120 ,0.001 ,0.248 
100073,0.000 ,0.455 ,0.012 ,0.058 ,0.005 ,0.002 ,0.014 ,0.009 ,0.673 ,0.002 ,0.000 ,0.004 ,0.000 ,0.004 ,0.004 ,0.000 ,0.635 ,0.002 ,0.007 ,0.165 ,0.166 ,0.002 ,0.248 
100074,0.000 ,0.418 ,0.013 ,0.049 ,0.012 ,0.007 ,0.019 ,0.010 ,0.631 ,0.003 ,0.001 ,0.009 ,0.000 ,0.009 ,0.006 ,0.001 ,0.543 ,0.002 ,0.015 ,0.116 ,0.171 ,0.003 ,0.274 
100075,0.000 ,0.304 ,0.203 ,0.025 ,0.008 ,0.010 ,0.011 ,0.003 ,0.406 ,0.000 ,0.000 ,0.021 ,0.000 ,0.005 ,0.002 ,0.000 ,0.530 ,0.000 ,0.004 ,0.030 ,0.104 ,0.017 ,0.534 
100076,0.000 ,0.464 ,0.088 ,0.129 ,0.002 ,0.005 ,0.017 ,0.003 ,0.630 ,0.000 ,0.000 ,0.006 ,0.000 ,0.001 ,0.001 ,0.000 ,0.764 ,0.000 ,0.002 ,0.206 ,0.177 ,0.009 ,0.681 
100077,0.000 ,0.481 ,0.056 ,0.101 ,0.001 ,0.001 ,0.009 ,0.003 ,0.685 ,0.000 ,0.000 ,0.002 ,0.000 ,0.000 ,0.001 ,0.000 ,0.792 ,0.000 ,0.001 ,0.216 ,0.119 ,0.003 ,0.591 
100078,0.000 ,0.487 ,0.069 ,0.042 ,0.000 ,0.000 ,0.007 ,0.003 ,0.705 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.001 ,0.000 ,0.816 ,0.001 ,0.000 ,0.305 ,0.052 ,0.001 ,0.496 
100079,0.000 ,0.492 ,0.043 ,0.032 ,0.000 ,0.000 ,0.005 ,0.004 ,0.713 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.001 ,0.000 ,0.796 ,0.001 ,0.001 ,0.271 ,0.052 ,0.001 ,0.383 
100080,0.000 ,0.483 ,0.021 ,0.035 ,0.001 ,0.000 ,0.006 ,0.005 ,0.710 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.001 ,0.000 ,0.754 ,0.001 ,0.001 ,0.196 ,0.084 ,0.001 ,0.308 
