Gridcode,longitude,latitude,altitude
100849,-70.926,41.955,29.274
100850,-79.541,42.214,437.897
100851,-79.191,42.221,469.984
100852,-78.831,42.221,529.589
100853,-78.472,42.221,569.987
100854,-78.113,42.221,560.148
100855,-77.753,42.221,595.409
100856,-77.394,42.221,498.048
100857,-77.035,42.221,438.249
100858,-76.675,42.221,413.783
100859,-76.316,42.221,395.255
100860,-75.957,42.221,372.901
100861,-75.598,42.221,434.497
100862,-75.238,42.221,517.308
100863,-74.879,42.221,593.033
100864,-74.52,42.221,645.785
100865,-74.16,42.221,556.783
100866,-73.801,42.221,94.684
100867,-73.442,42.221,316.717
100868,-73.082,42.221,433.482
